centerColors,X_2,Y_2,X_3,Y_3,X_4,Y_4,X_5,Y_5,X_6,Y_6
coral,-122.41721258127922,37.78739426221802,-122.41582476469686,37.761346056903406,-122.41708247002195,37.78742711884176,-122.41584224261476,37.76142569868439,-122.41584104423832,37.7614223162626
mediumseagreen,-122.41924311718914,37.76000421665213,-122.41709742374232,37.78742454987841,-122.4157933283197,37.76144681116217,-122.41876997704011,37.78765447103969,-122.41734574019395,37.78626408225128
darkviolet,,,-122.47811474903897,37.73890648569841,-122.46632498052548,37.718814247089576,-122.46632498052548,37.718814247089576,-122.48653563661559,37.7584929825487
navy,,,,,-122.48639782848089,37.75857230467054,-122.48639782848089,37.75857230467054,-122.46632498052548,37.718814247089576
yellow,,,,,,,-122.4045346858759,37.78553068672912,-122.40357635664827,37.785479856299915
turquoise,,,,,,,,,-122.42168637567067,37.790816208502285
